data	al	cu	ni	zn
2015M5	1804.039	6294.776	13511.342	2281.802632
2015M6	1687.727	5833.011	12825.227	2082.090909
2015M7	1639.500	5456.750	11413.098	2000.684783
2015M8	1548.125	5127.300	10386.000	1807.6375
2015M9	1589.602	5217.250	9937.545	1720.227273
2015M10	1516.489	5216.091	10316.830	1724.340909
2015M11	1467.893	4799.905	9244.333	1583.309524
2015M12	1497.202	4638.833	8707.786	1527.785714
2016M1	1481.100	4471.788	8507.288	1520.3625
2016M2	1531.262	4598.619	8298.500	1709.845238
2016M3	1531.012	4953.798	8717.250	1801.690476
2016M4	1571.226	4872.738	8878.857	1855.37381
2016M5	1550.625	4694.538	8660.350	1869.025
2016M6	1593.507	4641.966	8928.352	2026.193182
2016M7	1629.048	4864.905	10262.857	2183.25
2016M8	1639.284	4751.670	10335.989	2279.136364
2016M9	1592.364	4722.205	10191.784	2292.306818
2016M10	1665.905	4731.262	10259.738	2311.5
2016M11	1737.114	5450.932	11128.909	2566.204545
2016M12	1727.738	5660.350	10972.275	2664.8125
2017M1	1791.238	5754.560	9971.464	2714.797619
2017M2	1860.750	5940.913	10643.300	2845.55
2017M3	1901.467	5824.630	10204.663	2776.880435
2017M4	1921.222	5683.903	9609.278	2614.916667
2017M5	1913.024	5599.560	9155.119	2590.214286
2017M6	1885.286	5719.761	8931.761	2573.397727
2017M7	1902.964	5985.119	9491.393	2787.190476
2017M8	2030.011	6485.625	10889.977	2980.727273
2017M9	2096.488	6577.167	11215.786	3116.857143
2017M10	2131.489	6807.602	11335.773	3264.602273
2017M11	2097.441	6826.545	11972.000	3229.306818
2017M12	2080.474	6833.895	11495.105	3195.947368
2018M1	2209.727	7065.852	12864.875	3441.522727
2018M2	2181.788	7006.525	13595.875	3532.9
2018M3	2069.238	6799.179	13392.500	3269.178571
2018M4	2254.688	6851.513	13938.100	3188.05
2018M5	2299.667	6825.274	14366.488	3059.869048
2018M6	2237.619	6965.857	15105.655	3088.571429
2018M7	2082.239	6250.750	13793.864	2656.125
2018M8	2051.511	6051.045	13411.352	2512
2018M9	2026.463	6050.763	12510.350	2434.675
2018M10	2029.859	6219.587	12314.913	2673.673913
2018M11	1938.511	6195.920	11239.716	2595.693182
2018M12	1920.382	6075.316	10835.079	2616.289474
2019M1	1853.716	5939.102	11523.091	2569.704545
2019M2	1862.988	6300.488	12685.225	2707.1875
2019M3	1871.214	6439.464	13026.274	2850.595238
2019M4	1845.425	6438.363	12772.788	2932.65
2019M5	1781.262	6017.905	12016.310	2742.809524
2019M6	1755.950	5882.225	11943.938	2601.225
2019M7	1796.989	5941.196	13546.304	2446.51087
